gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ch,dvt,lct,lt,ni,re,revt,seq,teq,xt,costat,ggroup
62340,20130228,2012,INDL,C,D,STD,EGCFF,QUANTUM INTL INCOME CORP,CAD,0.229,0.206,0,0.268,0.268,-0.093,-9.917,0,-0.039,-0.039,,A,2010
62365,20131231,2013,INDL,C,D,STD,FNRN,FIRST NORTHN CMNTY BANCORP,USD,897.669,177.254,0.681,,812.761,5.384,6.5,38.159,84.908,84.908,,A,4010
62374,20131231,2013,INDL,C,D,STD,IRM,IRON MOUNTAIN INC,USD,6653.005,120.526,208.9,959.101,5595.171,97.262,65.26,3025.923,1047.338,1057.834,,A,2020
62378,20131231,2013,INDL,C,D,STD,HUBG,HUB GROUP INC  -CL A,USD,1047.943,68.964,0,321.325,486.416,69.11,522.708,3373.898,561.527,561.527,,A,2030
62391,20131231,2013,INDL,C,D,STD,ELNK,EARTHLINK HOLDINGS CORP,USD,1007.318,116.636,,207.884,845.1,-538.827,-1144.975,1240.606,162.218,162.218,,A,4510
62396,20130731,2013,INDL,C,D,STD,IDT,IDT CORP,USD,435.407,146.96,18.96,333.669,346.271,11.607,-201.37,1620.617,88.603,89.136,,A,5010
62432,20131231,2013,INDL,C,D,STD,BDLF,BROADLEAF CAP PARTNERS INC,USD,0.307,0.007,0,0.028,0.028,0.158,-14.029,0.008,0.279,0.279,,A,4020
62472,20131231,2013,INDL,C,D,STD,VCBI,VIRGINIA COMM BANCORP INC,USD,2745.269,43.637,,,2475.231,27.635,109.998,128.149,270.038,270.038,,I,4010
62475,20131231,2013,INDL,C,D,STD,TKMR,TEKMIRA PHARMACEUTICALS CORP,USD,71.716,68.717,0,12.523,12.523,-14.064,-182.852,15.464,59.193,59.193,,A,3520
62494,20131231,2013,INDL,C,D,STD,PRGX,PRGX GLOBAL INC,USD,132.829,43.7,0,37.489,39.001,-0.186,-511.272,195.216,93.828,93.828,,A,4510
62498,20131231,2013,INDL,C,D,STD,ELLO,ELLOMAY CAPITAL LTD,USD,146.93,7.238,0,26.919,47.169,10.068,-2.857,12.982,99.733,99.761,,A,5510
